POKÈMON,#DEX,SPRITE,ENCOUNTERS,,,,,,,,,,,,,,,
Samurott,#503,,,,,,,,,,,,,,,,,
Patrat,#504,,,,,,,,,,,,,,,,,
Watchog,#505,,,,,,,,,,,,,,,,,
Lillipup,#506,,,,,,,,,,,,,,,,,
Herdier,#507,,,,,,,,,,,,,,,,,
Stoutland,#508,,,,,,,,,,,,,,,,,
Purrloin,#509,,,,,,,,,,,,,,,,,
Liepard,#510,,,,,,,,,,,,,,,,,
Pansage,#511,,,,,,,,,,,,,,,,,
Simisage,#512,,,,,,,,,,,,,,,,,
Pansear,#513,,,,,,,,,,,,,,,,,
Simisear,#514,,,,,,,,,,,,,,,,,
Panpour,#515,,,,,,,,,,,,,,,,,
Simipour,#516,,,,,,,,,,,,,,,,,
Munna,#517,,,,,,,,,,,,,,,,,
Musharna,#518,,,,,,,,,,,,,,,,,
Pidove,#519,,,,,,,,,,,,,,,,,
Tranquill,#520,,,,,,,,,,,,,,,,,
Unfezant,#521,,,,,,,,,,,,,,,,,
Blitzle,#522,,,,,,,,,,,,,,,,,
Zebstrika,#523,,,,,,,,,,,,,,,,,
Roggenrola,#524,,,,,,,,,,,,,,,,,
Boldore,#525,,,,,,,,,,,,,,,,,
Gigalith,#526,#NAME?,-,,,,,,,,,,,,,,,
Woobat,#527,,,,,,,,,,,,,,,,,
Swoobat,#528,,,,,,,,,,,,,,,,,
Drilbur,#529,,,,,,,,,,,,,,,,,
Excadrill,#530,#NAME?,1516,,,,,,,,,,,,,,,
Audino,#531,,,,,,,,,,,,,,,,,
Timburr,#532,,,,,,,,,,,,,,,,,
Gurdurr,#533,,,,,,,,,,,,,,,,,
Conkeldurr,#534,#NAME?,-,,,,,,,,,,,,,,,
Tympole,#535,,,,,,,,,,,,,,,,,
Palpitoad,#536,,,,,,,,,,,,,,,,,
Siesmitoad,#537,,,,,,,,,,,,,,,,,
Throh,#538,,,,,,,,,,,,,,,,,
Sawk,#539,,,,,,,,,,,,,,,,,
Sewaddle,#540,,,,,,,,,,,,,,,,,
Swadloon,#541,,,,,,,,,,,,,,,,,
Leavanny,#542,,,,,,,,,,,,,,,,,
Venipede,#543,,,,,,,,,,,,,,,,,
Whirlipede,#544,,,,,,,,,,,,,,,,,
Scolipede,#545,#NAME?,-,,,,,,,,,,,,,,,
Cottonee,#546,,,,,,,,,,,,,,,,,
Whimsicott,#547,,,,,,,,,,,,,,,,,
Petilil,#548,,,,,,,,,,,,,,,,,
Lilligant,#549,,,,,,,,,,,,,,,,,
Basculin,#550,#NAME?,-,,,,,,,,,,,,,,,
Sandile,#551,,,,,,,,,,,,,,,,,
Krokorok,#552,,,,,,,,,,,,,,,,,
Krookodile,#553,,,,,,,,,,,,,,,,,
Darumaka,#554,,,,,,,,,,,,,,,,,
Darmanitan,#555,,,,,,,,,,,,,,,,,
Maractus,#556,,,,,,,,,,,,,,,,,
Dwebble,#557,,,,,,,,,,,,,,,,,
Crustle,#558,#NAME?,-,,,,,,,,,,,,,,,
Scraggy,#559,,,,,,,,,,,,,,,,,
Scafty,#560,,,,,,,,,,,,,,,,,
Sigilyph,#561,#NAME?,-,,,,,,,,,,,,,,,
Yamask,#562,,,,,,,,,,,,,,,,,
Cofagrigus,#563,,,,,,,,,,,,,,,,,
Tirtouga,#564,,,,,,,,,,,,,,,,,
Carracosta,#565,,,,,,,,,,,,,,,,,
Archen,#566,,,,,,,,,,,,,,,,,
Archeops,#567,,,,,,,,,,,,,,,,,
Trubbish,#568,,,,,,,,,,,,,,,,,
Garbodor,#569,,,,,,,,,,,,,,,,,
Zorua,#570,,,,,,,,,,,,,,,,,
Zoroark,#571,,,,,,,,,,,,,,,,,
Minccino,#572,,,,,,,,,,,,,,,,,
Cincinno,#573,,,,,,,,,,,,,,,,,
Gothita,#574,,,,,,,,,,,,,,,,,
Gothorita,#575,,,,,,,,,,,,,,,,,
Gothitelle,#576,,,,,,,,,,,,,,,,,
Solosis,#577,,,,,,,,,,,,,,,,,
Duosion,#578,,,,,,,,,,,,,,,,,
Reuniclus,#579,,,,,,,,,,,,,,,,,
Ducklett,#580,,,,,,,,,,,,,,,,,
Swanna,#581,#NAME?,266,,,,,,,,,,,,,,,
Vanillite,#582,,,,,,,,,,,,,,,,,
Vanillish,#583,,,,,,,,,,,,,,,,,
Vanilluxe,#584,,,,,,,,,,,,,,,,,
Deerling,#585,,,,,,,,,,,,,,,,,
Sawsbuck,#586,,,,,,,,,,,,,,,,,
Emolga,#587,,,,,,,,,,,,,,,,,
Karrablast,#588,,,,,,,,,,,,,,,,,
Excavalier,#589,,,,,,,,,,,,,,,,,
Foongus,#590,,,,,,,,,,,,,,,,,
Amoongus,#591,#NAME?,-,,,,,,,,,,,,,,,
Frillish,#592,,,,,,,,,,,,,,,,,
Jellicent,#593,,,,,,,,,,,,,,,,,
Alomomola,#594,,,,,,,,,,,,,,,,,
Joltik,#595,,,,,,,,,,,,,,,,,
Galvantula,#596,,,,,,,,,,,,,,,,,
Ferroseed,#597,,,,,,,,,,,,,,,,,
Ferrothorn,#598,,,,,,,,,,,,,,,,,
Klink,#599,,,,,,,,,,,,,,,,,
Klang,#600,,,,,,,,,,,,,,,,,
Klinklang,#601,,,,,,,,,,,,,,,,,
Tynamo,#602,,,,,,,,,,,,,,,,,
Eelektrik,#603,,,,,,,,,,,,,,,,,
Eelektross,#604,,,,,,,,,,,,,,,,,
Elgyem,#605,,,,,,,,,,,,,,,,,
Beheeyem,#606,,,,,,,,,,,,,,,,,
Litwick,#607,,,,,,,,,,,,,,,,,
Lampent,#608,,,,,,,,,,,,,,,,,
Chandelure,#609,#NAME?,902,,,,,,,,,,,,,,,
Axew,#610,,,,,,,,,,,,,,,,,
Fraxure,#611,,,,,,,,,,,,,,,,,
Haxorus,#612,,,,,,,,,,,,,,,,,
Cubchoo,#613,,,,,,,,,,,,,,,,,
Beartic,#614,,,,,,,,,,,,,,,,,
Cryogonal,#615,,,,,,,,,,,,,,,,,
Shelmet,#616,,,,,,,,,,,,,,,,,
Accelgor,#617,,,,,,,,,,,,,,,,,
Stunfisk,#618,#NAME?,-,,,,,,,,,,,,,,,
Mienfoo,#619,,,,,,,,,,,,,,,,,
Mienshao,#620,,,,,,,,,,,,,,,,,
Druddigon,#621,#NAME?,-,,,,,,,,,,,,,,,
Golett,#622,,,,,,,,,,,,,,,,,
Golurk,#623,#NAME?,-,,,,,,,,,,,,,,,
Pawniard,#624,,,,,,,,,,,,,,,,,
Bisharp,#625,,,,,,,,,,,,,,,,,
Bouffalant,#626,,,,,,,,,,,,,,,,,
Rufflet,#627,,,,,,,,,,,,,,,,,
Braviary,#628,,,,,,,,,,,,,,,,,
Vullaby,#629,,,,,,,,,,,,,,,,,
Mandibuzz,#630,,,,,,,,,,,,,,,,,
Heatmor,#631,#NAME?,-,,,,,,,,,,,,,,,
Durant,#632,,,,,,,,,,,,,,,,,
Deino,#633,,,,,,,,,,,,,,,,,
Zweilous,#634,,,,,,,,,,,,,,,,,
Hydreigon,#635,,,,,,,,,,,,,,,,,
Larvesta,#636,,,,,,,,,,,,,,,,,
Volcarona,#637,,,,,,,,,,,,,,,,,
Cobalion,#638,,,,,,,,,,,,,,,,,
Terrakion,#639,,,,,,,,,,,,,,,,,
Virizion ,#640,,,,,,,,,,,,,,,,,
Tornadus,#641,,,,,,,,,,,,,,,,,
Thundurus,#642,,,,,,,,,,,,,,,,,
Reshiram,#643,,,,,,,,,,,,,,,,,
Zekrom,#644,,,,,,,,,,,,,,,,,
Landorus,#645,,,,,,,,,,,,,,,,,
Kyurem,#646,,,,,,,,,,,,,,,,,
Keldeo,#647,,,,,,,,,,,,,,,,,
Meloette,#648,,,,,,,,,,,,,,,,,
Genesect,#649,,,,,,,,,,,,,,,,,
Chespin,#650,,,,,,,,,,,,,,,,,
Quilladin,#651,,,,,,,,,,,,,,,,,
Chesnaught,#652,,,,,,,,,,,,,,,,,
Fennekin,#653,,,,,,,,,,,,,,,,,
Braixen,#654,,,,,,,,,,,,,,,,,
Delphox,#655,,,,,,,,,,,,,,,,,
Froakie,#656,,,,,,,,,,,,,,,,,
Frogadier,#657,,,,,,,,,,,,,,,,,
Greninja,#658,,,,,,,,,,,,,,,,,
Bunnelby,#659,,,,,,,,,,,,,,,,,
Diggersby,#660,,,,,,,,,,,,,,,,,
Fletchling,#661,#NAME?,-,,,,,,,,,,,,,,,
Fletchinder,#662,#NAME?,-,,,,,,,,,,,,,,,
Talonflame,#663,#NAME?,-,,,,,,,,,,,,,,,
Scatterbug,#664,,,,,,,,,,,,,,,,,
Spewpa,#665,,,,,,,,,,,,,,,,,
Vivillon,#666,,,,,,,,,,,,,,,,,
Litleo,#667,,,,,,,,,,,,,,,,,
Pyroar,#668,,,,,,,,,,,,,,,,,
Flabebe,#669,,,,,,,,,,,,,,,,,
Floette,#670,,,,,,,,,,,,,,,,,
Florges,#671,,,,,,,,,,,,,,,,,
Skiddo,#672,,,,,,,,,,,,,,,,,
Gogoat,#673,#NAME?,284,,,,,,,,,,,,,,,
Pancham,#674,,,,,,,,,,,,,,,,,
Pangoro,#675,,,,,,,,,,,,,,,,,
Furfrou,#676,,,,,,,,,,,,,,,,,
Espurr,#677,,,,,,,,,,,,,,,,,
Meowstic,#678,,,,,,,,,,,,,,,,,
Honedge,#679,,,,,,,,,,,,,,,,,
Doublade,#680,,,,,,,,,,,,,,,,,
Aegislash,#681,,,,,,,,,,,,,,,,,
Spritzee,#682,,,,,,,,,,,,,,,,,
Aromatisse,#683,,,,,,,,,,,,,,,,,
Swirlix,#684,,,,,,,,,,,,,,,,,
Slurpuff,#685,,,,,,,,,,,,,,,,,
Inkay,#686,,,,,,,,,,,,,,,,,
Malamar,#687,,,,,,,,,,,,,,,,,
Binacle,#688,,,,,,,,,,,,,,,,,
Barbaracle,#689,,,,,,,,,,,,,,,,,
Skrelp,#690,#NAME?,-,Mystery,,,,,,,,,,,,,,
Dragalge,#691,,,,,,,,,,,,,,,,,
Clauncher,#692,,,,,,,,,,,,,,,,,
Clawitzer,#693,,,,,,,,,,,,,,,,,
Helioptile,#694,,,,,,,,,,,,,,,,,
Heliolisk,#695,#NAME?,-,,,,,,,,,,,,,,,
Tyrunt,#696,,,,,,,,,,,,,,,,,
Tyrantrum,#697,,,,,,,,,,,,,,,,,
Amaura,#698,,,,,,,,,,,,,,,,,
Aurorus,#699,,,,,,,,,,,,,,,,,
Sylveon,#700,,,,,,,,,,,,,,,,,
Hawlucha,#701,#NAME?,-,,,,,,,,,,,,,,,
Dedenne,#702,#NAME?,7,,,,,,,,,,,,,,,
Carbink,#703,,,,,,,,,,,,,,,,,
Goomy,#704,,,,,,,,,,,,,,,,,
Sliggoo,#705,,,,,,,,,,,,,,,,,
Goodra,#706,,,,,,,,,,,,,,,,,
Klefki,#707,,,,,,,,,,,,,,,,,
Phantump,#708,#NAME?,620,,,,,,,,,,,,,,,
Trevenant,#709,,,,,,,,,,,,,,,,,
Pumpkaboo,#710,,,,,,,,,,,,,,,,,
Gourgeist,#711,,,,,,,,,,,,,,,,,
Bergmite,#712,,,,,,,,,,,,,,,,,
Avalugg,#713,#NAME?,123,,,,,,,,,,,,,,,
Noibat,#714,#NAME?,1014,,,,,,,,,,,,,,,
Noivern,#715,,,,,,,,,,,,,,,,,
Xerneas,#716,,,,,,,,,,,,,,,,,
Yveltal,#717,#NAME?,-,,,,,,,,,,,,,,,
Zygarde,#718,,,,,,,,,,,,,,,,,
Diancie,#719,,,,,,,,,,,,,,,,,
Hoopa,#720,,,,,,,,,,,,,,,,,
Volcanion,#721,,,,,,,,,,,,,,,,,
Rowlet,#722,,,,,,,,,,,,,,,,,
Dartrix,#723,,,,,,,,,,,,,,,,,
Decidueye,#724,,,,,,,,,,,,,,,,,
Litten,#725,,,,,,,,,,,,,,,,,
Torracat,#726,,,,,,,,,,,,,,,,,
Incineroar,#727,,,,,,,,,,,,,,,,,
Popplio,#728,,,,,,,,,,,,,,,,,
Brionne,#729,,,,,,,,,,,,,,,,,
Primarina,#730,,,,,,,,,,,,,,,,,
Pikipek,#731,,,,,,,,,,,,,,,,,
Trumbeak,#732,,,,,,,,,,,,,,,,,
Toucannon,#733,,,,,,,,,,,,,,,,,
Yungoos,#734,,,,,,,,,,,,,,,,,
Gumshoos,#735,,,,,,,,,,,,,,,,,
Grubbin,#736,,,,,,,,,,,,,,,,,
Charjabug,#737,,,,,,,,,,,,,,,,,
Vikavolt,#738,,,,,,,,,,,,,,,,,
Crabrawler,#739,,,,,,,,,,,,,,,,,
Crabominable,#740,,,,,,,,,,,,,,,,,
Oricorio,#741,,,,,,,,,,,,,,,,,
Cutiefly,#742,,,,,,,,,,,,,,,,,
Ribombee,#743,,,,,,,,,,,,,,,,,
Rockruff,#744,,,,,,,,,,,,,,,,,
Lycanroc,#745,,,,,,,,,,,,,,,,,
Wishiwashi,#746,,,,,,,,,,,,,,,,,
Mareanie,#747,,,,,,,,,,,,,,,,,
Toxapex,#748,,,,,,,,,,,,,,,,,
Mudbray,#749,,,,,,,,,,,,,,,,,
Mudsdale,#750,,,,,,,,,,,,,,,,,
Dewpider,#751,,,,,,,,,,,,,,,,,
Araquanid,#752,,,,,,,,,,,,,,,,,
Fomantis,#753,,,,,,,,,,,,,,,,,
Lurantis,#754,,,,,,,,,,,,,,,,,
Morelull,#755,,,,,,,,,,,,,,,,,
Shiinotic,#756,,,,,,,,,,,,,,,,,
Salandit,#757,,,,,,,,,,,,,,,,,
Salazzle,#758,,,,,,,,,,,,,,,,,
Stufful,#759,,,,,,,,,,,,,,,,,
Bewear,#760,,,,,,,,,,,,,,,,,
Bounsweet,#761,,,,,,,,,,,,,,,,,
Steenee,#762,,,,,,,,,,,,,,,,,
Tsareena,#763,,,,,,,,,,,,,,,,,
Comfey,#764,,,,,,,,,,,,,,,,,
Oranguru,#765,,,,,,,,,,,,,,,,,
Passimian,#766,,,,,,,,,,,,,,,,,
Wimpod,#767,,,,,,,,,,,,,,,,,
Golisopod,#768,,,,,,,,,,,,,,,,,
Sandygast,#769,,,,,,,,,,,,,,,,,
Palossand,#770,,,,,,,,,,,,,,,,,
Pyukumuku,#771,,,,,,,,,,,,,,,,,
Type: Null,#772,,,,,,,,,,,,,,,,,
Silvally,#773,,,,,,,,,,,,,,,,,
Minior ,#774,,,,,,,,,,,,,,,,,
Komala,#775,,,,,,,,,,,,,,,,,
Turtonator,#776,,,,,,,,,,,,,,,,,
Togedemaru,#777,,,,,,,,,,,,,,,,,
Mimikyu,#778,,,,,,,,,,,,,,,,,
Bruxish,#779,,,,,,,,,,,,,,,,,
Drampa,#780,,,,,,,,,,,,,,,,,
Dhelmise,#781,,,,,,,,,,,,,,,,,
Jangmo-o,#782,,,,,,,,,,,,,,,,,
Hakamo-o,#783,,,,,,,,,,,,,,,,,
Kommo-o,#784,,,,,,,,,,,,,,,,,
Tapu Koko,#785,,,,,,,,,,,,,,,,,
Tapu Lele,#786,,,,,,,,,,,,,,,,,
Tapu Bulu,#787,,,,,,,,,,,,,,,,,
Tapu Fini,#788,,,,,,,,,,,,,,,,,
Cosmog,#789,,,,,,,,,,,,,,,,,
Cosmoem,#790,,,,,,,,,,,,,,,,,
Solgaleo,#791,,,,,,,,,,,,,,,,,
Lunala,#792,,,,,,,,,,,,,,,,,
Nihilego,#793,,,,,,,,,,,,,,,,,
Buzzwole,#794,,,,,,,,,,,,,,,,,
Pheromosa,#795,,,,,,,,,,,,,,,,,
Xurkitree,#796,,,,,,,,,,,,,,,,,
Celesteela,#797,,,,,,,,,,,,,,,,,
Kartana,#798,,,,,,,,,,,,,,,,,
Guzzlord,#799,,,,,,,,,,,,,,,,,
Necrozma,#800,,,,,,,,,,,,,,,,,
Magearna,#801,,,,,,,,,,,,,,,,,
Marshadow,#802,,,,,,,,,,,,,,,,,
Poipole,#803,,,,,,,,,,,,,,,,,
Naganadel,#804,,,,,,,,,,,,,,,,,
Stakataka,#805,,,,,,,,,,,,,,,,,
Blacephalon,#806,#NAME?,275,,,,,,,,,,,,,,,
Zeraora,#807,#NAME?,-,,,,,,,,,,,,,,,
Meltan,#808,#NAME?,-,,,,,,,,,,,,,,,
Melmetal,#809,#NAME?,-,,,,,,,,,,,,,,,
Grookey ,#810,,,,,,,,,,,,,,,,,
Thwackey,#811,,,,,,,,,,,,,,,,,
Rillaboom,#812,,,,,,,,,,,,,,,,,
Scorbunny,#813,,,,,,,,,,,,,,,,,
Raboot,#814,,,,,,,,,,,,,,,,,
Cinderace,#815,,,,,,,,,,,,,,,,,
Sobble,#816,,,,,,,,,,,,,,,,,
Drizzile,#817,,,,,,,,,,,,,,,,,
Inteleon,#818,,,,,,,,,,,,,,,,,
Skwovet,#819,,,,,,,,,,,,,,,,,
Greedent,#820,,,,,,,,,,,,,,,,,
Rookidee,#821,,,,,,,,,,,,,,,,,
Corvisquire,#822,,,,,,,,,,,,,,,,,
Corviknight,#823,,,,,,,,,,,,,,,,,
Blipbug,#824,,,,,,,,,,,,,,,,,
Dottler,#825,,,,,,,,,,,,,,,,,
Orbeetle,#826,,,,,,,,,,,,,,,,,
Nickit,#827,,,,,,,,,,,,,,,,,
Thievul,#828,,,,,,,,,,,,,,,,,
Gossifleur,#829,,,,,,,,,,,,,,,,,
Eldegoss,#830,,,,,,,,,,,,,,,,,
Wooloo,#831,#NAME?,3,,,,,,,,,,,,,,,
Dubwool,#832,"
",,,,,,,,,,,,,,,,
Chewtle,#833,,,,,,,,,,,,,,,,,
Drednaw,#834,,,,,,,,,,,,,,,,,
Yamper,#835,,,,,,,,,,,,,,,,,
Boltund,#836,,,,,,,,,,,,,,,,,
Rolycoly,#837,,,,,,,,,,,,,,,,,
Carkol,#838,,,,,,,,,,,,,,,,,
Coalossal,#839,,,,,,,,,,,,,,,,,
Applin,#840,,,,,,,,,,,,,,,,,
Flapple,#841,,,,,,,,,,,,,,,,,
Appletun,#842,,,,,,,,,,,,,,,,,
Silicobra,#843,,,,,,,,,,,,,,,,,
Sandaconda,#844,#NAME?,-,,,,,,,,,,,,,,,
Cramorant,#845,#NAME?,-,,,,,,,,,,,,,,,
Arrokuda,#846,,,,,,,,,,,,,,,,,
Barraskewda,#847,,,,,,,,,,,,,,,,,
Toxel,#848,,,,,,,,,,,,,,,,,
Toxtricity,#849,#NAME?,-,,,,,,,,,,,,,,,
Sizzlipede,#850,,,,,,,,,,,,,,,,,
Centiskorch,#851,,,,,,,,,,,,,,,,,
Clobbopus,#852,,,,,,,,,,,,,,,,,
Grapploct,#853,,,,,,,,,,,,,,,,,
Sinistea,#854,,,,,,,,,,,,,,,,,
Polteageist,#855,,,,,,,,,,,,,,,,,
Hatenna,#856,,,,,,,,,,,,,,,,,
Hattrem,#857,,,,,,,,,,,,,,,,,
Hatterene,#858,,,,,,,,,,,,,,,,,
Impidimp,#859,,,,,,,,,,,,,,,,,
Morgrem,#860,,,,,,,,,,,,,,,,,
Grimmsnarl,#861,,,,,,,,,,,,,,,,,
Obstagoon,#862,,,,,,,,,,,,,,,,,
Perrserker,#863,,,,,,,,,,,,,,,,,
Cursola,#864,,,,,,,,,,,,,,,,,
Sirfetch'd,#865,,,,,,,,,,,,,,,,,
Mr. Rime,#866,,,,,,,,,,,,,,,,,
Runerigus,#867,,,,,,,,,,,,,,,,,
Milcery,#868,,,,,,,,,,,,,,,,,
Alcremie,#869,,,,,,,,,,,,,,,,,
Falinks,#870,,,,,,,,,,,,,,,,,
Pincurchin,#871,,,,,,,,,,,,,,,,,
Snom,#872,,,,,,,,,,,,,,,,,
Frosmoth,#873,,,,,,,,,,,,,,,,,
Stonjourner,#874,,,,,,,,,,,,,,,,,
Eiscue,#875,,,,,,,,,,,,,,,,,
Indeedee,#876,,,,,,,,,,,,,,,,,
Morpeko,#877,,,,,,,,,,,,,,,,,
Cufant,#878,,,,,,,,,,,,,,,,,
Copperajah,#879,,,,,,,,,,,,,,,,,
Dracozolt,#880,,,,,,,,,,,,,,,,,
Arctozolt,#881,,,,,,,,,,,,,,,,,
Dracovish,#882,,,,,,,,,,,,,,,,,
Arctovish,#883,,,,,,,,,,,,,,,,,
Duraludon,#884,,,,,,,,,,,,,,,,,
Dreepy,#885,,,,,,,,,,,,,,,,,
Drakloak,#886,,,,,,,,,,,,,,,,,
Dragapult,#887,,,,,,,,,,,,,,,,,
Zacian,#888,#NAME?,,,,,,,,,,,,,,,,
Zamazenta,#889,#NAME?,-,,,,,,,,,,,,,,,
Eternatus,#890,,,,,,,,,,,,,,,,,
Kubfu,#891,,,,,,,,,,,,,,,,,
Urshifu,#892,,,,,,,,,,,,,,,,,
Zarude,#893,,,,,,,,,,,,,,,,,
Regieleki,#894,,,,,,,,,,,,,,,,,
Regidrago,#895,,,,,,,,,,,,,,,,,
Glastrier,#896,,,,,,,,,,,,,,,,,
Spectrier,#897,,,,,,,,,,,,,,,,,
Calyrex,#898,,,,,,,,,,,,,,,,,
Wyrdeer,#899,,,,,,,,,,,,,,,,,
Kleavor,#900,,,,,,,,,,,,,,,,,
Ursulana,#901,#NAME?,,,,,,,,,,,,,,,,
Basculegion,#902,,,,,,,,,,,,,,,,,
Sneasler,#903,,,,,,,,,,,,,,,,,
Overquil,#904,,,,,,,,,,,,,,,,,
Enamorus,#905,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
